question,label,code
What is the total elevation gain for my weightlifting exercises where the elevation gain is less than or equal to 4?,0.0,"exercise_entries.query('activityName == ""Weights"" and elevationGain <= 4')['elevationGain'].sum()"
What is the total number of steps I took on the elliptical in the last 19 days?,0.0,"exercise_entries.query('activityName == ""Eliptical""').during('last 19 days')['steps'].sum()"
What is the total number of steps I took during my first four swimming sessions in the last 30 days?,0.0,"exercise_entries.query('activityName == ""Swim""').during('last 30 days')['steps'][:4].sum()"
What is my total average heart rate for treadmill exercises where my heart rate was above 88?,0.0,"exercise_entries.query('activityName == ""Treadmill"" and averageHeartRate > 88')['averageHeartRate'].sum()"
What is the total distance I covered during weightlifting exercises where the distance was 27 or more?,0.0,"exercise_entries.query('activityName == ""Weights"" and distance >= 27')['distance'].sum()"
What was my total average heart rate for my last three swims within the past 21 days?,0.0,"exercise_entries.query('activityName == ""Swim""').during('last 21 days')['averageHeartRate'][-3:].sum()"
"On days when I sleep less than 22 hours, what is the total number of active zone minutes I have spent on the treadmill?",0.0,"exercise_entries.query('activityName == ""Treadmill""').on_days(daily_metrics.where('sleep_minutes <= 22*60'))['activeZoneMinutes'].sum()"
"On days when I have at least 2 minutes of deep sleep, how many steps do I take during sports activities?",0.0,"exercise_entries.query('activityName == ""Sport""').on_days(daily_metrics.where('deep_sleep_minutes >= 2'))['steps'].sum()"
What is the sum of my HR across interval workouts when my HR is less than 18?,0.0,"exercise_entries.query('activityName == ""Interval Workout"" and averageHeartRate < 18')['averageHeartRate'].sum()"
How long did I swim in the past 30 days?,0.0,"exercise_entries.query('activityName == ""Swim""').during('last 30 days')['duration'].sum()"
What is the total elevation gain for my walks where the elevation gain exceeded 58?,0.0,"exercise_entries.query('activityName == ""Walk"" and elevationGain > 58')['elevationGain'].sum()"
"On days when I sleep less than 2 hours, how many steps have I taken on the elliptical?",0.0,"exercise_entries.query('activityName == ""Eliptical""').on_days(daily_metrics.where('sleep_minutes <= 2*60'))['steps'].sum()"
How many days during the past week did I have at least 20 hours of light sleep?,0,daily_metrics.query('light_sleep_minutes >= 20*60').during('last week')['datetime'].drop_duplicates().count()
How many times have I done yoga in the past 21 days?,0,"exercise_entries.query('activityName == ""Yoga""').during('last 21 days').shape[0]"
"On days when I had less than 603 minutes of REM sleep, what was my total distance covered during aerobic workouts?",0.0,"exercise_entries.query('activityName == ""Aerobic Workout""').on_days(daily_metrics.where('rem_sleep_minutes < 603'))['distance'].sum()"
What is the total elevation gain for my last four bike rides within the past 30 days?,0.0,"exercise_entries.query('activityName == ""Bike""').during('last 30 days')['elevationGain'][-4:].sum()"
"On days when I had 179 minutes or less of deep sleep, what is the total number of calories I burned during aerobic workouts?",0.0,"exercise_entries.query('activityName == ""Aerobic Workout""').on_days(daily_metrics.where('deep_sleep_minutes <= 179'))['calories'].sum()"
What is the total speed I achieved while swimming on days when I slept for at least 42 minutes?,0.0,"exercise_entries.query('activityName == ""Swim""').on_days(daily_metrics.where('sleep_minutes >= 42'))['speed'].sum()"
"On days when I sleep less than 14 hours, what is the total amount of time I spend biking?",0.0,"exercise_entries.query('activityName == ""Bike""').on_days(daily_metrics.where('sleep_minutes < 14*60'))['duration'].sum()"
How many days have I done an aerobic workout today?,0,"exercise_entries.query('activityName == ""Aerobic Workout""').during('today')['datetime'].drop_duplicates().count()"
What was the total duration of my first four bike rides yesterday?,0.0,"exercise_entries.query('activityName == ""Bike""').during('yesterday')['duration'][:4].sum()"
What is the total number of steps I took during my last three aerobic workouts?,0.0,"exercise_entries.query('activityName == ""Aerobic Workout""')['steps'][-3:].sum()"
"On days when I have less than 43 minutes of deep sleep, how many total steps do I take during yoga?",0.0,"exercise_entries.query('activityName == ""Yoga""').on_days(daily_metrics.where('deep_sleep_minutes < 43'))['steps'].sum()"
What was my total average heart rate during aerobic workouts on days when I slept for at least 10 hours?,0.0,"exercise_entries.query('activityName == ""Aerobic Workout""').on_days(daily_metrics.where('sleep_minutes >= 10'))['averageHeartRate'].sum()"
What was the total distance I covered during my first five interval workouts in the past seven days?,0.0,"exercise_entries.query('activityName == ""Interval Workout""').during('last 7 days')['distance'][:5].sum()"
How many times have I engaged in sports over the last 21 days?,0,"exercise_entries.query('activityName == ""Sport""').during('last 21 days').shape[0]"
How many days did I do weightlifting yesterday?,0,"exercise_entries.query('activityName == ""Weights""').during('yesterday')['datetime'].drop_duplicates().count()"
What is my total elevation gain for interval workouts on days when I took more than 62 steps?,0.0,"exercise_entries.query('activityName == ""Interval Workout""').on_days(exercise_entries.where('steps > 62'))['elevationGain'].sum()"
How many times did I exercise yesterday?,0,exercise_entries.during('yesterday')['datetime'].drop_duplicates().count()
What is my total number of steps taken while swimming on days when I slept for 21 hours or less?,0.0,"exercise_entries.query('activityName == ""Swim""').on_days(daily_metrics.where('sleep_minutes <= 21*60'))['steps'].sum()"
How many days have I lifted weights in the past 21 days?,0,"exercise_entries.query('activityName == ""Weights""').during('last 21 days')['datetime'].drop_duplicates().count()"
What is the total distance I covered in yoga sessions where the distance was less than or equal to 36 units?,0.0,"exercise_entries.query('activityName == ""Yoga"" and distance <= 36')['distance'].sum()"
What are my total calories burned during sports activities that lasted 2 hours or more?,0.0,"exercise_entries.query('activityName == ""Sport""').on_days(exercise_entries.where('duration >= 2'))['calories'].sum()"
What is my total elevation gain for swimming sessions where my speed was greater than 42?,0.0,"exercise_entries.query('activityName == ""Swim""').on_days(exercise_entries.where('speed > 42'))['elevationGain'].sum()"
"In the past 30 days, how many days did I sleep for fewer than 105 minutes?",0,daily_metrics.query('sleep_minutes < 105').during('last 30 days')['datetime'].drop_duplicates().count()
What was the total duration of my workouts yesterday?,0.0,"exercise_entries.query('activityName == ""Workout""').during('yesterday')['duration'].sum()"
What is the total number of active zone minutes I have accumulated for sports activities where I exceeded 97 active zone minutes?,0.0,"exercise_entries.query('activityName == ""Sport"" and activeZoneMinutes > 97')['activeZoneMinutes'].sum()"
How many days in the past 14 days did I have more than 21 hours of light sleep?,0,daily_metrics.query('light_sleep_minutes > 21*60').during('last 14 days')['datetime'].drop_duplicates().count()
What is the total number of steps I took on the elliptical over the past two days?,0.0,"exercise_entries.query('activityName == ""Eliptical""').during('last 2 days')['steps'].sum()"
How many days have I run in the past 21 days?,0,"exercise_entries.query('activityName == ""Run""').during('last 21 days')['datetime'].drop_duplicates().count()"
How many days have I used the elliptical in the past 14 days?,0,"exercise_entries.query('activityName == ""Eliptical""').during('last 14 days')['datetime'].drop_duplicates().count()"
What is the total distance I have run on the treadmill for runs with a distance of 57 or greater?,0.0,"exercise_entries.query('activityName == ""Treadmill"" and distance >= 57')['distance'].sum()"
What was the total number of calories I burned during my last five hikes within the past 30 days?,0.0,"exercise_entries.query('activityName == ""Hike""').during('last 30 days')['calories'][-5:].sum()"
What was the total speed I achieved during my last three sports activities in the past seven days?,0.0,"exercise_entries.query('activityName == ""Sport""').during('last 7 days')['speed'][-3:].sum()"
"On days when I slept for 28 minutes or more, what is the total number of calories I burned using the elliptical machine?",0.0,"exercise_entries.query('activityName == ""Eliptical""').on_days(daily_metrics.where('sleep_minutes >= 28'))['calories'].sum()"
"On days when I walk more than 9 steps, what is my total elevation gain?",0.0,"exercise_entries.query('activityName == ""Walk""').on_days(exercise_entries.where('steps > 9'))['elevationGain'].sum()"
How many days have I used the treadmill?,0,"exercise_entries.query('activityName == ""Treadmill""')['datetime'].drop_duplicates().count()"
"On days when my light sleep percentage is 60% or higher, what is my total walking speed?",0.0,"exercise_entries.query('activityName == ""Walk""').on_days(daily_metrics.where('light_sleep_percent >= 60'))['speed'].sum()"
What is the total elevation gain for my elliptical workouts on days when my resting heart rate was 10 or higher?,0.0,"exercise_entries.query('activityName == ""Eliptical""').on_days(daily_metrics.where('resting_heart_rate >= 10'))['elevationGain'].sum()"
"Over the past 23 days, what is the total time I spent doing yoga?",0.0,"exercise_entries.query('activityName == ""Yoga""').during('last 23 days')['duration'].sum()"
What is the total of my average heart rate during walks on days when I get less than 6 hours of REM sleep?,0.0,"exercise_entries.query('activityName == ""Walk""').on_days(daily_metrics.where('rem_sleep_minutes < 6*60'))['averageHeartRate'].sum()"
How long did I spend doing yoga in total?,0.0,"exercise_entries.query('activityName == ""Yoga""')['duration'].sum()"
"On days when my active zone minutes are less than 67, what is the total duration of my swims?",0.0,"exercise_entries.query('activityName == ""Swim""').on_days(exercise_entries.where('activeZoneMinutes < 67'))['duration'].sum()"
What was my total calorie expenditure for my three most recent swims yesterday?,0.0,"exercise_entries.query('activityName == ""Swim""').during('yesterday')['calories'][-3:].sum()"
"On days when I slept less than 23 hours of REM sleep, what was the total elevation gain from my sports activities?",0.0,"exercise_entries.query('activityName == ""Sport""').on_days(daily_metrics.where('rem_sleep_minutes < 23*60'))['elevationGain'].sum()"
How many days did I use the treadmill at a speed below 93?,0,"exercise_entries.query('activityName == ""Treadmill"" and speed < 93')['datetime'].drop_duplicates().count()"
What is the total duration of my interval workouts on days when I slept for more than 280 minutes?,0.0,"exercise_entries.query('activityName == ""Interval Workout""').on_days(daily_metrics.where('sleep_minutes > 280'))['duration'].sum()"
What was the total duration of my first three interval workouts in the last 14 days?,0.0,"exercise_entries.query('activityName == ""Interval Workout""').during('last 14 days')['duration'][:3].sum()"
Could you calculate the total of my heart rates when I used the treadmill on days I slept 9 hours or less?,0.0,"exercise_entries.query('activityName == ""Treadmill""').on_days(daily_metrics.where('sleep_minutes <= 9*60'))['averageHeartRate'].sum()"
What is the sum of my active zone minutes (AZMs) for walking when my AZMs exceed 83?,0.0,"exercise_entries.query('activityName == ""Walk"" and activeZoneMinutes > 83')['activeZoneMinutes'].sum()"
What is the total number of steps I took on the elliptical when I took less than 17 steps?,0.0,"exercise_entries.query('activityName == ""Eliptical"" and steps < 17')['steps'].sum()"
How many days did I practice yoga with a speed greater than 48?,0,"exercise_entries.query('activityName == ""Yoga"" and speed > 48')['datetime'].drop_duplicates().count()"
What is the total duration I spent running today?,0.0,"exercise_entries.query('activityName == ""Run""').during('today')['duration'].sum()"
What is the total elevation gain for my walks where the elevation gain was at least 46?,0.0,"exercise_entries.query('activityName == ""Walk"" and elevationGain >= 46')['elevationGain'].sum()"
What is the total elevation gain for my interval workouts where the elevation gain was less than 53?,0.0,"exercise_entries.query('activityName == ""Interval Workout"" and elevationGain < 53')['elevationGain'].sum()"
What was the median number of minutes I spent in deep sleep over the past 14 days?,54.5,daily_metrics.during('last 14 days')['deep_sleep_minutes'].median()
What is my total number of active zone minutes for running over the past 29 days?,10.0,"exercise_entries.query('activityName == ""Run""').during('last 29 days')['activeZoneMinutes'].sum()"
What was my longest sleep duration within the past 30 days?,542.43,daily_metrics.during('last 30 days')['sleep_minutes'].max()
What is the total elevation gain for my runs on days when I slept for 432 minutes or more?,202.11,"exercise_entries.query('activityName == ""Run""').on_days(daily_metrics.where('sleep_minutes >= 432'))['elevationGain'].sum()"
What is the date of my longest run?,20455.19,"exercise_entries.query('activityName == ""Run""')['distance'].max()"
How many days have I exercised in the past 7 days?,2,exercise_entries.during('last 7 days')['datetime'].drop_duplicates().count()
What is the median of my heart rate variability?,43.53,daily_metrics['heart_rate_variability'].median()
What was the standard deviation of my deep sleep percentage over the past 7 days?,3.56,daily_metrics.during('last 7 days')['deep_sleep_percent'].std()
How many days in the past 14 days did I sleep for less than 7 hours?,1,daily_metrics.query('sleep_minutes < 7*60').during('last 14 days')['datetime'].drop_duplicates().count()
What is my highest percentage of light sleep today?,57.28,daily_metrics.during('today')['light_sleep_percent'].max()
What was the duration of my longest run in the last 30 days?,25.18,"exercise_entries.query('activityName == ""Run""').during('last 30 days')['duration'].max()"
How many minutes did I sleep today?,486.81,daily_metrics.during('today')['sleep_minutes'].sum()
What was my lowest deep sleep percentage in the last 30 days?,0.89,daily_metrics.during('last 30 days')['deep_sleep_percent'].min()
What is my median deep sleep percentage over the last 30 days?,12.99,daily_metrics.during('last 30 days')['deep_sleep_percent'].median()
What was my highest percentage of deep sleep within the past seven days?,15.08,daily_metrics.during('last 7 days')['deep_sleep_percent'].max()
What was my highest step count yesterday?,6680.37,daily_metrics.during('yesterday')['steps'].max()
What was the average number of minutes I spent in deep sleep over the past 30 days?,53.79,daily_metrics.during('last 30 days')['deep_sleep_minutes'].mean()
How many days did I go for a run with a speed of at least 64?,2,"exercise_entries.query('activityName == ""Run"" and speed >= 64')['datetime'].drop_duplicates().count()"
What was my lowest heart rate variability in the last 30 days?,7.11,daily_metrics.during('last 30 days')['heart_rate_variability'].min()
What was the lowest number of REM sleep minutes I had yesterday?,58.09,daily_metrics.during('yesterday')['rem_sleep_minutes'].min()
How many days in the last 30 days did I have at least 91 minutes of REM sleep?,1,daily_metrics.query('rem_sleep_minutes >= 91').during('last 30 days')['datetime'].drop_duplicates().count()
What was my median resting heart rate over the past 14 days?,57.8,daily_metrics.during('last 14 days')['resting_heart_rate'].median()
What was the average number of minutes I was awake today?,59.07,daily_metrics.during('today')['awake_minutes'].median()
How many days have I exercised in the past 21 days?,2,exercise_entries.during('last 21 days')['datetime'].drop_duplicates().count()
What is my average percentage of time spent awake today?,12.13,daily_metrics.during('today')['awake_percent'].mean()
What is the average number of steps I have taken over the past 21 days?,8436.15,daily_metrics.during('last 21 days')['steps'].mean()
What was the median number of minutes I spent in deep sleep over the past 7 days?,58.55,daily_metrics.during('last 7 days')['deep_sleep_minutes'].median()
What was my total percentage of time spent awake yesterday?,18.79,daily_metrics.during('yesterday')['awake_percent'].sum()
"In the past 7 days, how many days did I have more than 152 minutes of light sleep?",4,daily_metrics.query('light_sleep_minutes > 152').during('last 7 days')['datetime'].drop_duplicates().count()
What is the total number of Active Zone Minutes (AZMs) I accumulated on days when I went for a run and my heart rate was 39 or higher?,10.0,"exercise_entries.query('activityName == ""Run""').on_days(exercise_entries.where('averageHeartRate >= 39'))['activeZoneMinutes'].sum()"
What is the lowest number of minutes I have spent in light sleep?,192.77,daily_metrics['light_sleep_minutes'].min()
What was my REM sleep percentage on the most recent day I ran?,10.47,"daily_metrics.on_days(exercise_entries.where('activityName == ""Run""').max())['rem_sleep_percent'].mean()"
How many minutes in total have I slept in the past 21 days?,6535.41,daily_metrics.during('last 21 days')['sleep_minutes'].sum()
What was the median number of minutes I slept yesterday?,475.65,daily_metrics.during('yesterday')['sleep_minutes'].median()
How many days have I run in the last 30 days?,2,"exercise_entries.query('activityName == ""Run""').during('last 30 days')['datetime'].drop_duplicates().count()"
What were my highest REM sleep minutes in the last 30 days?,97.23,daily_metrics.during('last 30 days')['rem_sleep_minutes'].max()
What was my lowest awake percentage over the last 14 days?,12.13,daily_metrics.during('last 14 days')['awake_percent'].min()
"On days when I sleep for at least 372 minutes, what is the total number of steps I take while running?",5075.0,"exercise_entries.query('activityName == ""Run""').on_days(daily_metrics.where('sleep_minutes >= 372'))['steps'].sum()"
What was the distance of my longest run within the last 30 days?,20455.19,"exercise_entries.query('activityName == ""Run""').during('last 30 days')['distance'].max()"
How many days in the past week have I slept less than 16 hours?,4,daily_metrics.query('sleep_minutes <= 16*60').during('last week')['datetime'].drop_duplicates().count()
What was my median REM sleep percentage over the past 7 days?,15.51,daily_metrics.during('last 7 days')['rem_sleep_percent'].median()
What was my mean number of active zone minutes?,27.7,daily_metrics['active_zone_minutes'].mean()
What was the total duration of my runs over the past 30 days?,46.58,"exercise_entries.query('activityName == ""Run""').during('last 30 days')['duration'].sum()"
How many days in the past week have I slept less than 20 hours?,4,daily_metrics.query('sleep_minutes < 20*60').during('last week')['datetime'].drop_duplicates().count()
What is the standard deviation of my resting heart rate over the past 14 days?,2.68,daily_metrics.during('last 14 days')['resting_heart_rate'].std()
What was the lowest number of minutes I spent in REM sleep yesterday?,58.09,daily_metrics.during('yesterday')['rem_sleep_minutes'].min()
What was my highest percentage of REM sleep yesterday?,12.21,daily_metrics.during('yesterday')['rem_sleep_percent'].max()
How many minutes of light sleep did I get today?,278.85,daily_metrics.during('today')['light_sleep_minutes'].sum()
What is the total amount of time I spent in deep sleep?,1129.6,daily_metrics['deep_sleep_minutes'].sum()
What was the standard deviation of my sleep duration over the past 21 days?,84.75,daily_metrics.during('last 21 days')['sleep_minutes'].std()
What was my average number of light sleep minutes over the past 14 days?,293.03,daily_metrics.during('last 14 days')['light_sleep_minutes'].mean()
What was the total percentage of REM sleep I experienced in the last 7 days?,46.01,daily_metrics.during('last 7 days')['rem_sleep_percent'].sum()
What was the total duration of my last two runs?,46.58,"exercise_entries.query('activityName == ""Run""')['duration'][-2:].sum()"
What is my highest recorded heart rate?,64.27,daily_metrics['resting_heart_rate'].max()
What was my lowest number of REM sleep minutes in the last 21 days?,35.34,daily_metrics.during('last 21 days')['rem_sleep_minutes'].min()
What was my median number of steps walked during the last 7 days?,4878.54,daily_metrics.during('last 7 days')['steps'].median()
What was my highest heart rate variability over the past 7 days?,43.53,daily_metrics.during('last 7 days')['heart_rate_variability'].max()
What was the standard deviation of my awake minutes over the past 14 days?,22.03,daily_metrics.during('last 14 days')['awake_minutes'].std()
"Over the past 7 days, on how many days did I sleep for fewer than 376 minutes?",1,daily_metrics.query('sleep_minutes < 376').during('last 7 days')['datetime'].drop_duplicates().count()
What was the total number of calories I burned during my last five runs?,365.0,"exercise_entries.query('activityName == ""Run""')['calories'][-5:].sum()"
What was the standard deviation of my deep sleep minutes over the past 7 days?,14.52,daily_metrics.during('last 7 days')['deep_sleep_minutes'].std()
What is the standard deviation of my REM sleep minutes over the past 7 days?,12.18,daily_metrics.during('last 7 days')['rem_sleep_minutes'].std()
What was my heart rate variability on the day I most recently ran?,43.31,"daily_metrics.on_days(exercise_entries.where('activityName == ""Run""').max())['heart_rate_variability'].mean()"
What is my total Active Zone Minutes (AZM) for runs where my AZM was less than or equal to 70?,10.0,"exercise_entries.query('activityName == ""Run"" and activeZoneMinutes <= 70')['activeZoneMinutes'].sum()"
What was my average heart rate variability over the past 14 days?,39.02,daily_metrics.during('last 14 days')['heart_rate_variability'].mean()
How many days today did I sleep for 19 hours or less?,1,daily_metrics.query('sleep_minutes <= 19*60').during('today')['datetime'].drop_duplicates().count()
What is my elevation gain for runs completed on days when I am awake for at least 62 minutes?,98.87,"exercise_entries.query('activityName == ""Run""').on_days(daily_metrics.where('awake_minutes >= 62'))['elevationGain'].mean()"
What were my median minutes of light sleep yesterday?,264.47,daily_metrics.during('yesterday')['light_sleep_minutes'].median()
What was the highest number of minutes I spent in light sleep yesterday?,264.47,daily_metrics.during('yesterday')['light_sleep_minutes'].max()
"On days when my resting heart rate is above 13, what is my average running speed?",865.47,"exercise_entries.query('activityName == ""Run""').on_days(daily_metrics.where('resting_heart_rate > 13'))['speed'].mean()"
What was the total number of minutes I spent in light sleep yesterday?,264.47,daily_metrics.during('yesterday')['light_sleep_minutes'].sum()
What is the average number of minutes I spent in light sleep today?,278.85,daily_metrics.during('today')['light_sleep_minutes'].mean()
What is my average number of steps taken during runs on days when I slept for 6 hours or more?,2537.5,"exercise_entries.query('activityName == ""Run""').on_days(daily_metrics.where('sleep_minutes >= 6*60'))['steps'].mean()"
What was the highest number of steps I took in the last 7 days?,7991.79,daily_metrics.during('last 7 days')['steps'].max()
"In the past 14 days, how many days did I sleep deeply for 3 hours or less?",9,daily_metrics.query('deep_sleep_minutes <= 3*60').during('last 14 days')['datetime'].drop_duplicates().count()
What was the highest number of minutes I was in light sleep over the past 30 days?,379.7,daily_metrics.during('last 30 days')['light_sleep_minutes'].max()
What was my highest percentage of time awake during the past 21 days?,20.29,daily_metrics.during('last 21 days')['awake_percent'].max()
What was the total percentage of REM sleep I had yesterday?,12.21,daily_metrics.during('yesterday')['rem_sleep_percent'].sum()
What unique activities have I performed in the past 7 days?,Run,exercise_entries.during('last 7 days')['activityName'].drop_duplicates().iloc[0]
What was my total heart rate over the last 7 days?,229.68,daily_metrics.during('last 7 days')['resting_heart_rate'].sum()
What was the median of my active zone minutes during the past 7 days?,45.83,daily_metrics.during('last 7 days')['active_zone_minutes'].median()
How many days in the last 30 days did I sleep for more than 6 hours?,19,daily_metrics.query('sleep_minutes > 6*60').during('last 30 days')['datetime'].drop_duplicates().count()
What was the lowest number of REM sleep minutes I had in the past 14 days?,58.09,daily_metrics.during('last 14 days')['rem_sleep_minutes'].min()
What was my lowest number of deep sleep minutes?,4.22,daily_metrics['deep_sleep_minutes'].min()
How many days have I slept for at least 199 minutes in the last 30 days?,20,daily_metrics.query('sleep_minutes >= 199').during('last 30 days')['datetime'].drop_duplicates().count()
What were my lowest awake minutes during the last 21 days?,28.03,daily_metrics.during('last 21 days')['awake_minutes'].min()
What unique activities have I performed in the past 21 days?,Run,exercise_entries.during('last 21 days')['activityName'].drop_duplicates().iloc[0]
What was my average heart rate while running during the last 27 days?,115.0,"exercise_entries.query('activityName == ""Run""').during('last 27 days')['averageHeartRate'].sum()"
What was my lowest awake percentage over the past 14 days?,12.13,daily_metrics.during('last 14 days')['awake_percent'].min()
How many times have I exercised in the last 30 days?,2,exercise_entries.during('last 30 days')['datetime'].count()
What was my average number of minutes of light sleep over the past 21 days?,281.32,daily_metrics.during('last 21 days')['light_sleep_minutes'].mean()
What was my highest REM sleep percentage during the past 30 days?,20.18,daily_metrics.during('last 30 days')['rem_sleep_percent'].max()
How many minutes of light sleep have I had in the past 21 days?,3938.44,daily_metrics.during('last 21 days')['light_sleep_minutes'].sum()
What is the total of my heart rate values while running when my heart rate exceeds 39?,223.0,"exercise_entries.query('activityName == ""Run"" and averageHeartRate > 39')['averageHeartRate'].sum()"
"On days when I run more than 27 units, what is my total running time?",46.58,"exercise_entries.query('activityName == ""Run""').on_days(exercise_entries.where('distance > 27'))['duration'].sum()"
What is my average calorie burn on days when I run and sleep for at least 294 minutes?,182.5,"exercise_entries.query('activityName == ""Run""').on_days(daily_metrics.where('sleep_minutes >= 294'))['calories'].mean()"
What is the standard deviation of my awake percentage?,4.28,daily_metrics['awake_percent'].std()
What is the date of my longest run?,20455.19,"exercise_entries.query('activityName == ""Run""')['distance'].max()"
What was my total heart rate variability over the last 30 days?,906.93,daily_metrics.during('last 30 days')['heart_rate_variability'].sum()
What was my median heart rate over the last 7 days?,57.4,daily_metrics.during('last 7 days')['resting_heart_rate'].median()
What were my highest awake minutes over the past 7 days?,89.4,daily_metrics.during('last 7 days')['awake_minutes'].max()
